O359,'Bar Pintxo','Restaurant',2,'64 South William Street' 
O360,'Porter House Central','Bar',2,'12 Eustace Street' 
O361,'Apache Pizza','Fast Food',1,'25 Annesley Bridge Road' 
O362,'Shop 'n' Go','Coffee Shop',5,'27 Bachelors Walk' 
O363,'Sufi's Cafe','Restaurant',2,'58 ST. Brigids Road' 
O364,'L'Gueuleton','Restaurant',2,'48 Lwr Stephens Street' 
O365,'Jing Gang Shan Chinese Restaurant','Restaurant',1,'2 Fade Street' 
O366,'Sandbar Restaurant Limited','Restaurant',3,'104 Parnell Street' 
O367,'Supervalu','Coffee Shop',1,'193/194 Clontarf Road' 
O368,'Golden Grain Chinese Take Away','Fast Food',5,'Talbot Street' 
O369,'China House','Restaurant',1,'151 Kilester Avenue' 
O370,'Spar','Coffee Shop',1,'54 - 56 Donnybrook Road' 
O371,'Marks & Spencer','Coffee Shop',1,'28 Westmoreland Street' 
O372,'Listons','Coffee Shop',2,'Mary Street' 
O373,'The Village Coffee Shop','Coffee Shop',5,'26 Lr Camden St' 
O374,'The 51 Public House','Bar',4,'Coolock Village' 
O375,'Borza's Take-Away','Fast Food',4,'Haddington Road' 
O376,'Casanostra Restaurant','Restaurant',1,'5 Sandymount Green' 
O377,'The Food Room','Coffee Shop',3,'85 Marlborough St' 
O378,'Fitzgeralds Bar','Bar',2,'46 Clontarf Road' 
O379,'Kates Cottage','Bar',1,'22 Aston Quay' 
O380,'St. Kevins Mart','Coffee Shop',8,'1 Amien Street' 
O381,'Spar','Coffee Shop',1,'54 - 56 Donnybrook Road' 
O382,'Antica Venezia','Restaurant',6,'Unit 2 Georges Quay' 
O383,'Da Vinci's Restaurant at Jacobs Inn','Restaurant',1,'97 Ashfield Rd' 
O384,'La Paloma Restaurant','Restaurant',2,'Talbot Place' 
O385,'Maldron Hotel','Hotel',1,'17B Asdius Row' 
O386,'Tonys Super Take Away','Fast Food',5,'Granby Row' 
O387,'Luigi's Takeaway','Fast Food',5,'4 malahide Road' 
O388,'Iannelli's Takeaway','Fast Food',4,'76 Brookwood Rise' 
O389,'Spar','Coffee Shop',8,'54 - 56 Donnybrook Road' 
O390,'Bang Café','Restaurant',2,'51-53 Patrick Street' 
O391,'Chapter One Restaurant','Restaurant',1,'11 Merrion Row' 
O392,'Blooms Leisure Limited','Hotel',2,'18/19 Parnell Square' 
